datetime,o,h,l,c,v,ma_10,ema_10,rsi_14,macd,macd_signal,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ret_1,roll_std_10,roll_mean_10
2024-09-19 04:00:00,234.0,244.24,232.13,243.92,102679026.0,226.717,228.32946443352947,63.562899488800696,MACD_12_26_9,MACDh_12_26_9,200.32617791746745,220.34449999999998,240.36282208253252,18.170022017824397,1.0888480538678955,0.0735915492957746,0.04122918146418492,0.006594136194995148
2024-09-20 04:00:00,241.52,243.99,235.92,238.25,99879070.0,229.469,230.13319817288772,59.41222865575475,MACD_12_26_9,MACDh_12_26_9,200.783975740224,221.724,242.66402425977597,18.888369558348202,0.8946031722547968,-0.02324532633650367,0.02891281222575548,0.012715534829537856
2024-09-23 04:00:00,242.61,250.0,241.92,250.0,86912394.0,232.842,233.74534395963536,64.57480341245046,MACD_12_26_9,MACDh_12_26_9,198.93480935682322,223.208,247.48119064317677,21.749391279144813,1.0518845955163143,0.04931794333683115,0.030958767907710127,0.015018372678619819
2024-09-24 04:00:00,254.08,257.19,249.0501,254.27,88490999.0,235.652,237.477099603338,66.2546137282782,MACD_12_26_9,MACDh_12_26_9,197.96070483676047,225.26100000000002,252.56129516323958,24.238812012056727,1.0312946220277728,0.017079999999999984,0.029062906499470555,0.012148761359435467
2024-09-25 04:00:00,252.54,257.05,252.28,257.02,65034318.0,238.54100000000003,241.03035422091287,67.32909450142088,MACD_12_26_9,MACDh_12_26_9,198.11088302946268,227.6515,257.1921169705373,25.952490513383232,0.9970867742757541,0.010815275101270228,0.029042229369634003,0.012363684103236261
2024-09-26 04:00:00,260.6,261.75,251.53,254.22,67142193.0,240.98199999999997,243.42847163529234,65.05769797276876,MACD_12_26_9,MACDh_12_26_9,200.16853681894173,230.075,259.98146318105825,25.997142828258834,0.9036752833964773,-0.01089409384483686,0.029951169121708726,0.010537852503349066
2024-09-27 04:00:00,257.375,260.6999,254.12,260.46,70737817.0,243.99899999999997,246.52511315614825,67.67492260507214,MACD_12_26_9,MACDh_12_26_9,202.18251219303238,232.78400000000002,263.38548780696766,26.291744971276064,0.9522002357300161,0.024545669105499046,0.030088852866919348,0.012783551218433154
2024-09-30 04:00:00,259.04,264.86,255.77,261.63,80871681.0,247.484,249.27145621866674,68.15653292924803,MACD_12_26_9,MACDh_12_26_9,203.3709415049771,235.16,266.9490584950229,27.03611030364253,0.9163382190784971,0.004492052522460321,0.028659779478058353,0.014756921653709277
2024-10-01 04:00:00,262.67,263.98,248.53,258.02,87397613.0,250.49900000000002,250.8621005425455,64.94150614690076,MACD_12_26_9,MACDh_12_26_9,206.3551299078922,237.531,268.7068700921078,26.249937980396492,0.8286034991079012,-0.013798111837327598,0.029952204958287012,0.012896468438051301
2024-10-02 04:00:00,247.55,251.1585,241.5,249.02,93968030.0,252.68099999999998,250.5271731711736,57.64136357568044,MACD_12_26_9,MACDh_12_26_9,208.61589750556047,239.0115,269.4071024944396,25.434426790710535,0.6646373024162113,-0.034881016975428114,0.033340125738286125,0.00970239403677391
2024-10-03 04:00:00,244.48,249.79,237.81,240.66,80721140.0,252.35499999999996,248.73314168550564,51.814814795265335,MACD_12_26_9,MACDh_12_26_9,209.40791781742524,239.536,269.66408218257476,25.155368865285183,0.5186536931423084,-0.03357160067464471,0.02717534880818662,-0.0010139209602680222
2024-10-04 04:00:00,246.69,250.96,244.58,250.08,86719885.0,253.53799999999995,248.9780250154137,57.0794871923446,MACD_12_26_9,MACDh_12_26_9,214.14486021290574,241.50349999999997,268.8621397870942,22.656930261544222,0.6567420761182325,0.03914235851408643,0.028627037180760463,0.005224847524790988
2024-10-07 04:00:00,249.0,249.83,240.7,240.83,68028970.0,252.621,247.49656592170209,51.16757265438257,MACD_12_26_9,MACDh_12_26_9,217.92811210640826,242.7315,267.53488789359176,20.43689252823943,0.4616685428587908,-0.03698816378758796,0.02680884624482889,-0.003405763187650923
2024-10-08 04:00:00,243.56,246.21,240.56,244.5,56223160.0,251.64399999999995,246.95173575411985,53.237042349100236,MACD_12_26_9,MACDh_12_26_9,220.03408410280133,243.648,267.26191589719866,19.38363204064771,0.5180402099276782,0.015238965245193636,0.026658433305777024,-0.003589866663131558
2024-10-09 04:00:00,243.82,247.43,239.51,241.05,66273629.0,250.04699999999997,245.8786928897344,51.046970100032304,MACD_12_26_9,MACDh_12_26_9,221.72995745439283,244.294,266.8580425456072,18.472858560265237,0.4281157178851458,-0.01411042944785268,0.02632509080747192,-0.006082437118043849
2024-10-10 04:00:00,241.81,242.7899,232.34,238.77,82921063.0,248.502,244.58620327341902,49.59491821094635,MACD_12_26_9,MACDh_12_26_9,223.0054210603423,244.74199999999996,266.4785789396576,17.76285144328122,0.36262787680207986,-0.009458618543870534,0.026299839787903272,-0.005938889587947216
2024-10-11 04:00:00,220.13,223.34,214.38,217.8,142551704.0,244.23600000000002,239.71598449643372,38.693197464765625,MACD_12_26_9,MACDh_12_26_9,220.15250312956476,244.11749999999998,268.0824968704352,19.63398516733558,-0.04908206627948602,-0.08782510365623819,0.034542178459290446,-0.01717596686412094
2024-10-14 04:00:00,220.13,221.91,213.74,219.16,86284173.0,239.98899999999998,235.9785327698094,39.62018693324489,MACD_12_26_9,MACDh_12_26_9,218.47391875817175,243.73649999999998,268.9990812418282,20.729419879113905,0.013579001196684459,0.006244260789715295,0.03466851887721817,-0.01700074603739544
2024-10-15 04:00:00,220.01,224.26,217.12,219.57,62942337.0,236.144,232.99516317529856,39.915145341428904,MACD_12_26_9,MACDh_12_26_9,216.78918214045424,243.32150000000001,269.8538178595458,21.808445089764597,0.05240435219920426,0.0018707793392955807,0.035179669001369804,-0.015433856919733124
2024-10-16 04:00:00,221.4,222.8199,218.93,221.33,49632824.0,233.375,230.87422441615337,41.242078168583056,MACD_12_26_9,MACDh_12_26_9,215.67175786040832,243.02800000000002,270.3842421395917,22.512831558167534,0.10341775216638259,0.008015666985471626,0.03516020096497724,-0.01114418852364315
2024-10-17 04:00:00,221.59,222.08,217.9,220.89,50141784.0,231.398,229.05891088594365,40.998311352657566,MACD_12_26_9,MACDh_12_26_9,212.87789225755873,241.8765,270.87510774244123,23.978028243703914,0.13814642091790919,-0.001987981746713219,0.0343305053776615,-0.007985826630850002
2024-10-18 04:00:00,220.71,222.28,219.23,220.7,49311867.0,228.46000000000004,227.53910890668115,40.88593018655894,MACD_12_26_9,MACDh_12_26_9,210.58686827596634,240.99900000000002,271.4111317240337,25.23838831201264,0.16626805078648246,-0.0008601566390511461,0.030325899476061565,-0.011986078146163759
2024-10-21 04:00:00,218.9,220.48,215.726,218.85,47328988.0,226.262,225.9592709236482,39.74358484931776,MACD_12_26_9,MACDh_12_26_9,207.86450566868376,239.4415,271.0184943313162,26.375540022357217,0.17394775158225648,-0.008382419574082478,0.02902679761831565,-0.009125503724813211
2024-10-22 04:00:00,217.31,218.22,215.26,217.97,43261066.0,223.609,224.5066762102576,39.182776635072216,MACD_12_26_9,MACDh_12_26_9,205.49928644202112,237.6265,269.75371355797887,27.040093220224914,0.19408333585284973,-0.004021018962759859,0.02784546349866316,-0.011051502145608561
2024-10-23 04:00:00,217.125,218.72,212.11,213.65,80886842.0,220.869,222.53273508111985,36.462695507080696,MACD_12_26_9,MACDh_12_26_9,203.00647886462045,235.458,267.9095211353795,27.564594225194757,0.1639910975355744,-0.019819241179978908,0.02797337165451292,-0.011622383318821183
2024-10-24 04:00:00,244.68,262.1199,242.65,260.48,204468053.0,223.04000000000002,229.4322377936435,64.90471814817005,MACD_12_26_9,MACDh_12_26_9,202.49147302018878,235.77100000000002,269.05052697981125,28.230382006108666,0.8712342428272722,0.21919026445120537,0.07823351868932239,0.011242504980686407
2024-10-25 04:00:00,256.01,269.49,255.32,269.19,161611931.0,228.179,236.66092183116285,67.79251833563094,MACD_12_26_9,MACDh_12_26_9,201.44802136466967,236.20749999999998,270.9669786353303,29.431308180587248,0.9744389342836096,0.03343826781326764,0.07015231943522705,0.023368842127636992
2024-10-28 04:00:00,270.0,273.536,262.24,262.51,107639853.0,232.51399999999998,241.36075422549686,63.47844358120214,MACD_12_26_9,MACDh_12_26_9,201.36142675559444,236.2515,271.14157324440555,29.53638240976718,0.8763033086238994,-0.024815186299639636,0.0716659780458475,0.0202628974187015
2024-10-29 04:00:00,264.51,264.98,255.51,259.52,80516151.0,236.50899999999996,244.66243527540652,61.589191913725244,MACD_12_26_9,MACDh_12_26_9,201.2436578830907,236.32649999999998,271.4093421169093,29.690146570028578,0.8305533218020149,-0.011390042284103452,0.07216506182109403,0.018936815256361594
